GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.0957398899578224e-14,3.1674030116218393e-12,4.238966588371879e-12,2.2011112560410327e-11,2.4145352029560042e-12,-2.502833883462041e-12,1.6414179404441261e-12,3.017008125946536e-12,2.233333855328125e-11,-1.6998929118152803e-12,3.0773973060863645e-12,0.0,4.115270463158325e-11,4.137044761942596e-11,3.445055500870036e-05,3.445204195545014e-05
-5.808399638281594e-13,3.90992720540583e-08,5.7628267741805125e-08,1.793718505467189e-07,4.6161673409365635e-08,-3.1551803536421674e-08,2.05425884301149e-08,4.1940882629744955e-08,2.544754764080344e-07,-2.0577985027116383e-08,4.167886190403179e-08,0.0,6.94854019151752e-07,6.972396468749209e-07,3.434400383079753e-05,3.4345664325606845e-05
-1.1922132525983687e-12,7.996892495852864e-08,1.1690443054252035e-07,3.6314875244636253e-07,9.657455707477511e-08,-6.207290869690365e-08,4.2063138380329614e-08,8.50801570342723e-08,5.152043404345055e-07,-4.2111309487104675e-08,8.459054669761325e-08,0.0,1.424119319838685e-06,1.4289095433295521e-06,3.435784988104839e-05,3.4359799259575246e-05
-1.803445183382735e-12,1.186150972797148e-07,1.721907600298235e-07,5.324009274263739e-07,1.4617010722909524e-07,-8.872113008508831e-08,6.246152776620623e-08,1.2530593690032538e-07,7.550870505574588e-07,-6.249301376036382e-08,1.2465450181691324e-07,0.0,2.1148833915467003e-06,2.121881574848069e-06,3.446248426308497e-05,3.446480204170705e-05
-2.414818472152944e-12,1.554936759777625e-07,2.2427993631668603e-07,6.88774837716599e-07,1.9504798194454362e-07,-1.1230607352061702e-07,8.197425491165317e-08,1.631946330640338e-07,9.763105709248978e-07,-8.195151056673901e-08,1.6243641053533111e-07,0.0,2.772592031008198e-06,2.7816484429640602e-06,3.4625900136675586e-05,3.4628649743359486e-05
-3.0261917609231533e-12,1.909169433059077e-07,2.7377080593392244e-07,8.337055695151278e-07,2.432998775102998e-07,-1.3352189496561397e-07,1.0075290209199964e-07,1.9918838855849017e-07,1.1811529994869447e-06,-1.0065679832545799e-07,1.9836112024878223e-07,0.0,3.401641041552504e-06,3.412640067419374e-06,3.482782981382064e-05,3.483106312970342e-05
-3.6375650496933626e-12,2.251180856648185e-07,3.2112054311237667e-07,9.684440590634686e-07,2.9100979132681373e-07,-1.529581489183663e-07,1.1890882378045363e-07,2.3361901447767732e-07,1.383475006603035e-06,-1.1873734368371938e-07,2.3275811550860868e-07,0.0,4.005615971653906e-06,4.018467085292308e-06,3.5055348838606854e-05,3.5059109331404e-05
-4.248796980477729e-12,2.5826219986075596e-07,3.666819961584603e-07,1.0940813866612137e-06,3.382543435176241e-07,-1.7111134353007047e-07,1.365264669087419e-07,2.6674439058257503e-07,1.576439756999948e-06,-1.3628006333125576e-07,2.6588027357826344e-07,0.0,4.587470651120965e-06,4.602101982920735e-06,3.530013746871688e-05,3.5304462344860543e-05
-4.860028911262095e-12,2.904458675373389e-07,4.107305611556976e-07,1.211570183639964e-06,3.851031552569544e-07,-1.8839634481312865e-07,1.536540764414083e-07,2.9876751720354065e-07,1.7611205688472115e-06,-1.5333875613707437e-07,2.979235306694216e-07,0.0,5.149661495989695e-06,5.166015206824898e-06,3.555677838490556e-05,3.556170007597045e-05
-5.4714022000323044e-12,3.218266721777777e-07,4.5348363346268243e-07,1.3217433585877544e-06,4.3161918706264244e-07,-2.0515717432425148e-07,1.7036844516275723e-07,3.2984831355438473e-07,1.93840474746709e-06,-1.699982555277625e-07,3.2904404919904026e-07,0.0,5.694249536232805e-06,5.712278458435482e-06,3.5821696537504806e-05,3.582724373981115e-05
-6.082775488802514e-12,3.525049915845356e-07,4.951147782650587e-07,1.425330342895386e-06,4.778591286893064e-07,-2.216769137408821e-07,1.8673256465418717e-07,3.6011471698432367e-07,2.1090306830132117e-06,-1.8629933346068193e-07,3.5936618468940805e-07,0.0,6.222978639901799e-06,6.242643814629384e-06,3.609249599891678e-05,3.609869441343417e-05
-6.69400741958688e-12,3.825370484483432e-07,5.357641277734129e-07,1.5229711509188004e-06,5.23873717848771e-07,-2.3818659856229786e-07,2.0276738357819815e-07,3.8967019826582747e-07,2.273617124485756e-06,-2.0227948703816447e-07,3.8898987014868747e-07,0.0,6.737336036646496e-06,6.758604890900512e-06,3.63675427158904e-05,3.637441558592576e-05
-7.305239350371246e-12,4.1203123610877957e-07,5.755460678028394e-07,1.619765266011931e-06,5.69708072497797e-07,-2.548730968207159e-07,2.1852325106725409e-07,4.18598573695246e-07,2.432686336004813e-06,-2.1799825246829456e-07,4.179968808621646e-07,0.0,7.238599555330143e-06,7.261444539386708e-06,3.664570017442255e-05,3.665326868539682e-05
-7.916612639141456e-12,4.4100238350300327e-07,6.145549646654788e-07,1.7223011241018407e-06,6.154020636053069e-07,-2.7188600193874293e-07,2.340114476739405e-07,4.4696847664339835e-07,2.586682465048868e-06,-2.334608481525315e-07,4.464553426097409e-07,0.0,7.727874795571467e-06,7.752272354646973e-06,3.6926160675683206e-05,3.693444425947755e-05
-8.527985927911664e-12,4.695601988312281e-07,6.528694675480875e-07,1.8217125862732755e-06,6.609906178589446e-07,-2.893435948920426e-07,2.4929391701173305e-07,4.748384470208615e-07,2.735986139316524e-06,-2.4871609844453554e-07,4.744210261647339e-07,0.0,8.20612461952196e-06,8.232054410217475e-06,3.7208336771204775e-05,3.721735334333483e-05
-9.139217858696031e-12,4.976937652078411e-07,6.905557669033244e-07,1.918218537455516e-06,7.065040710822119e-07,-3.0733797709837527e-07,2.643551232071155e-07,5.022580484444999e-07,2.8809260967970386e-06,-2.637692213918109e-07,5.019406963866345e-07,0.0,8.674192727070592e-06,8.701637014583394e-06,3.749179079338079e-05,3.750155694195363e-05
-9.750732505452083e-12,5.254597945773053e-07,7.27670084121183e-07,2.012009500716109e-06,7.519684553719918e-07,-3.259394621092753e-07,2.792262924297041e-07,5.292679589986854e-07,3.021788479484465e-06,-2.786461930185252e-07,5.290556003938041e-07,0.0,9.13282265213092e-06,9.161765842161685e-06,3.777618868285492e-05,3.778671982220833e-05
-1.0362105794222291e-11,5.52878201425029e-07,7.642605889835266e-07,2.103252592471266e-06,7.974058611898622e-07,-3.4520029749952107e-07,2.939183181754272e-07,5.559027812384034e-07,3.158824275488483e-06,-2.933562096069019e-07,5.558012085720982e-07,0.0,9.582673169594997e-06,9.613101441426137e-06,3.8061269425657464e-05,3.807257992355034e-05
-1.0973337725006658e-11,5.800186577835225e-07,8.003688894540247e-07,2.192095510437652e-06,8.428347418479749e-07,-3.6515782460316667e-07,3.084682558702133e-07,5.821931187558906e-07,3.2922553084428783e-06,-3.0793189425121173e-07,5.822071514015454e-07,0.0,1.0024330883648949e-05,1.0056231899876016e-05,3.834682458246874e-05,3.835892786704613e-05
-1.158485237176271e-11,6.068713544161e-07,8.360311993184318e-07,2.2786697412168363e-06,8.882702066517778e-07,-3.858371375938312e-07,3.2287039693183634e-07,6.081656354575575e-07,3.4222790548991736e-06,-3.223699305810692e-07,6.082991044975765e-07,0.0,1.0458320583620084e-05,1.049168325846741e-05,3.863268441207882e-05,3.86455930630538e-05
-1.219622566053292e-11,6.334524813259107e-07,8.712792602057771e-07,2.363093158039597e-06,9.337243396204412e-07,-4.072533277613628e-07,3.371345573946923e-07,6.338432587543818e-07,3.5490725458160577e-06,-3.366770842862115e-07,6.340999543315755e-07,0.0,1.0885113810784454e-05,1.0919928123526965e-05,3.891870831526618e-05,3.893243414253078e-05
-1.2807457591317285e-11,6.597636962674284e-07,9.061410765313307e-07,2.445472121441625e-06,9.792064904054322e-07,-4.2941335112901795e-07,3.512612688772141e-07,6.59245653989818e-07,3.6727955215134993e-06,-3.508541882197306e-07,6.596303790973232e-07,0.0,1.1305135999384718e-05,1.1341392842819691e-05,3.9204778160657465e-05,3.921933227272009e-05
-1.3418548164115809e-11,6.858017105555277e-07,9.406415051139008e-07,2.5259031985299777e-06,1.024723527398571e-06,-4.5231759836841453e-07,3.652496852364059e-07,6.843907375545288e-07,3.7935930137975107e-06,-3.648988762061539e-07,6.849082349494752e-07,0.0,1.1718772451282653e-05,1.1756463507623546e-05,3.94907935225544e-05,3.9506186386593345e-05
-1.4029921452886019e-11,7.116403291893208e-07,9.74802732776131e-07,2.6044745725905318e-06,1.0702801222005766e-06,-4.7596120259862857e-07,3.7913909818021283e-07,7.092944674693118e-07,3.91159746301554e-06,-3.788457239860162e-07,7.099494056749235e-07,0.0,1.2126373375605189e-05,1.2165491014028747e-05,3.977666823166031e-05,3.979290972659093e-05
-1.4641153383670386e-11,7.37268285629755e-07,1.0086446655282518e-06,2.6812671820585044e-06,1.1158790002825594e-06,-5.003351229911599e-07,3.9292026120254437e-07,7.339712112771066e-07,4.026930428648793e-06,-3.9269259286971854e-07,7.347680697533539e-07,0.0,1.2528258151581047e-05,1.2568795342989541e-05,4.0062327811735504e-05,4.007942727537079e-05
-1.5252526672440594e-11,7.626598160624815e-07,1.0421852482826204e-06,2.7563556821495923e-06,1.1615211505007755e-06,-5.25427041880078e-07,4.065830802067611e-07,7.584342006247496e-07,4.139704033562815e-06,-4.0642376290609544e-07,7.593766875072712e-07,0.0,1.2924718961604307e-05,1.2966669207170817e-05,4.034770754198973e-05,4.036567381316106e-05
-1.5863617245239117e-11,7.878474484839931e-07,1.075440729650065e-06,2.829809226412038e-06,1.2072060664166966e-06,-5.512221187482355e-07,4.201422382849164e-07,7.826950745459436e-07,4.250022137801668e-06,-4.2005710730197456e-07,7.837868742879484e-07,0.0,1.3316023898792145e-05,1.3359381169657293e-05,4.0632750953602856e-05,4.065159240995006e-05
