GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
-0.015267005596253677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.7859240973894016e-16,0.09882034069602882,0.10592959771118278,0.17874950322898525,1.489078197361781e-15,-1.1912625578894248e-14,0.06162350472878145,0.08480462429805713,0.09904102603061506,-0.04547143955425423,0.07155464760171822,-0.09249885613457758,11.224761366727183,11.225261191600056,0.06381966045674618,0.06409615993248412
-2.1527595298009014e-15,0.1088797692643788,0.11426046552458166,0.17422828097338772,0.0,0.0,0.06415786373565496,0.08932742809516185,0.0965359198176305,-0.048633499473588346,0.07596792415292965,-0.09133880531266765,10.448106087488336,10.44873084491091,0.5836419186386455,0.5861863954000004
-4.153559563380563e-15,0.1345921362668009,0.13896084297601022,0.2012968045367192,0.0,0.0,0.07483542162475931,0.10519573106311847,0.11152132140869564,-0.05966782558801644,0.09159441022489956,-0.0997712192835462,9.753446070893514,9.754435933138765,1.069764374967064,1.0745057270070908
-6.091043140201374e-15,0.1638914055778352,0.16830129928008508,0.23028364641834803,0.0,0.0,0.08769620526005803,0.12447957583152336,0.12758226988398175,-0.07272512387856098,0.11063863204868582,-0.11568528671306422,9.191198379341152,9.19273914433249,1.4823341843051687,1.4890334080076042
-8.028526717022186e-15,0.19271971899355195,0.1975160113825809,0.25316441830892394,0.0,0.0,0.10061560841143254,0.1439140246138612,0.1402599841348129,-0.08576643249012063,0.12980769842421608,-0.13731909770677553,8.736686847667624,8.738919249481649,1.8361390914291484,1.844606324720338
-9.966010293842997e-15,0.21975771494713622,0.2250593162380959,0.2818029637842824,0.0,0.0,0.11287409101754949,0.16239015409466223,0.1504823788397851,-0.09810563942789423,0.14798395311708704,-0.15614059993168028,8.369491203784479,8.372516629189297,2.141763368953054,2.151840496666183
-1.1979473618774427e-14,0.24468455884239187,0.25052275631945503,0.31163288143219103,0.0,0.0,0.12425743839492992,0.17955671550504698,0.15880781618979192,-0.10955023646818739,0.16485206567881816,-0.17266867747533052,8.07206664693964,8.075953293826636,2.40735534041485,2.4189084072877804
-1.3992936943705859e-14,0.26754750418452977,0.27390406110911386,0.33803569969474373,0.0,0.0,0.13475906919858696,0.19537582504026815,0.1656197516029413,-0.12009780779690807,0.18038649842293217,-0.18729787735329162,7.82985030110778,7.8346396964027445,2.63941156538854,2.652326079834024
-1.590509393782313e-14,0.2884984135758833,0.29534501318998463,0.3615670640057811,0.0,0.0,0.14443737058483425,0.20993103257832738,0.17205387314767945,-0.12979920402334458,0.19467077063600113,-0.20033607003727233,7.631104172759624,7.636817371937444,2.8432056488492035,2.8573831071017604
-1.784257751464394e-14,0.3077470882457155,0.31503095268502673,0.38266868725343967,0.0,0.0,0.15336585044047438,0.22332769580095096,0.18115510839051663,-0.1387377048723699,0.2078142850563142,-0.21202799857193405,7.466548248881992,7.473191236281348,3.023063109873495,3.038418246646076
-1.9805387674168292e-14,0.32547830346074214,0.33315066028029605,0.4016967129946195,0.0,0.0,0.16161639094776808,0.2356826694961281,0.191071002992498,-0.14699139205625486,0.21993748511318564,-0.22257099398562882,7.328933407198078,7.336501499324405,3.1825563236515118,3.1990148881968454
-2.1654228211526713e-14,0.3418545692662539,0.34988058327746996,0.4189415549279878,0.0,0.0,0.16925545845787932,0.24710472425481678,0.20025869896534212,-0.15462660397349312,0.23114685839914928,-0.23212596789024786,7.212636440312997,7.221117700376136,3.324651048017194,3.3421479906624905
-2.3503068748885137e-14,0.35703201202588075,0.3653794097854225,0.4346422682327276,0.0,0.0,0.17634505682753523,0.2576957669176437,0.20879953500071183,-0.1617133048686031,0.24154179356828961,-0.24082537531249912,7.113310247727716,7.1226880314613865,3.451820189143402,3.470298176993732
-2.5465878908409486e-14,0.3711471821672307,0.3797871413442401,0.4489972411804262,0.0,0.0,0.1829478442637525,0.2675528894347744,0.2167635535791435,-0.168315835599273,0.2512139838487322,-0.24877913867239218,7.027596690186452,7.037851484128519,3.566133788378114,3.5855419872430656
-2.736537261117499e-14,0.3843279811458489,0.39322608108055607,0.46217231503938866,0.0,0.0,0.1891218706943716,0.2767586072001361,0.2242114410674866,-0.17449419252200493,0.2602423221059949,-0.25607914683716554,6.952898027584805,6.964008740146341,3.6693310138331285,3.689624086132566
-2.932818277069934e-14,0.3966728881642204,0.4058025566223161,0.4743070512786676,0.0,0.0,0.194907555115377,0.2853839796115983,0.23119601516594931,-0.18029004285371258,0.26869372955314386,-0.26280272763620965,6.887198523495075,6.899143368346097,3.762878193779839,3.784015471958016
-3.134164609563077e-14,0.4082811866292657,0.41760883162331036,0.4855196311266036,0.0,0.0,0.20035041308653165,0.2934917796186972,0.23787596863942204,-0.18574633437822463,0.27662571912971107,-0.26901536259479286,6.828926969384579,6.841684053611203,3.848015859168642,3.8699606619403344
-3.3215813215692733e-14,0.41923618644605853,0.42872495831170504,0.49591072564830757,0.0,0.0,0.20549076870833577,0.30113898851188625,0.24447543802715038,-0.19090269925402617,0.2840900309384302,-0.27477283125579544,6.776851606666224,6.7903993099562205,3.925797046920038,3.948516111947243
-3.511530691845823e-14,0.42960934360925934,0.4392204673196223,0.5055665786993333,0.0,0.0,0.21036170459914896,0.30837150599129065,0.2507400675428645,-0.195791587886322,0.29113001522626203,-0.28012291937407874,6.730000212616273,6.74431742140949,3.9971186066500026,4.020581618305834
-3.6976810747168424e-14,0.43945485997731343,0.4491558608072965,0.5145614804672676,0.0,0.0,0.2149894745393038,0.3152328203829052,0.25670039080075624,-0.200436384656329,0.29778516118965814,-0.28510678944950807,6.687599487700131,6.702665730527265,4.06274687678657,4.0869260717379525
-3.8964947489396316e-14,0.44881943213147335,0.45858390814740013,0.5229597643729033,0.0,0.0,0.2193930737972632,0.32175890631723925,0.2623830597233373,-0.20485909557940835,0.3040917670197601,-0.28976008716438356,6.6490291275048765,6.664824644296353,4.123338810048021,4.148208646669917
-4.09150943575689e-14,0.4577445805920118,0.46755075838530147,0.5308174280487628,0.0,0.0,0.22359331226096135,0.32798106021346024,0.26781142789314816,-0.20907772139819283,0.31007925774640294,-0.29411383953069736,6.613787010127263,6.6302927783767425,4.179459407538286,4.204996287813852
-4.287790451709325e-14,0.4662696172825286,0.4760968894267216,0.5381834557491294,0.0,0.0,0.22760912305459927,0.33392682285488057,0.2730060364960303,-0.21310864682226158,0.31577422106725117,-0.29819518760739483,6.581462773094424,6.598660506629322,4.231596148484957,4.257778183173763
-4.482805138526583e-14,0.4744265580841067,0.4842579150641908,0.5451009022067116,0.0,0.0,0.23145407301262363,0.3396206111690321,0.27798502064973557,-0.21696704959251487,0.32120011422339706,-0.30202798704065054,6.5517177143072844,6.569589845360986,4.280170967195303,4.306977776766846
-4.662623875721717e-14,0.48224319205924177,0.49206526993779776,0.5516077848902114,0.0,0.0,0.23514032822615338,0.34508230354326,0.28276445036365855,-0.22066641054987926,0.3263796159036055,-0.3056333024434525,6.524269459668271,6.542799111407829,4.325550221653192,4.352962766867042
-4.8601712208093293e-14,0.4897403498682758,0.49954679057967444,0.5577378216574084,0.0,0.0,0.23867841539488896,0.3503311296711397,0.2873586175974166,-0.22421681128998677,0.33133054282297386,-0.3090298161123651,6.498880226569177,6.518051180780209,4.368053013013284,4.396053450145543
-5.046321603680348e-14,0.4969418413888623,0.5067272084552022,0.563521043126068,0.0,0.0,0.242078408151628,0.35538347812143967,0.2917802786976977,-0.22762961367248158,0.3360702385329488,-0.31223416732829307,6.4753478041843655,6.495144467134206,4.40795814728706,4.436529703907952
-5.2337383156865444e-14,0.5038667155466694,0.5136285687052388,0.5689843031243637,0.0,0.0,0.24534906237570575,0.3602537342369193,0.2960408597587664,-0.23091342341763302,0.340614215788536,-0.3152612351854276,6.453498590719813,6.473905959080097,4.445509976091785,4.474636844032845
-5.416089711152032e-14,0.5105341425270223,0.5202705862596794,0.5741517059185223,0.0,0.0,0.24849845746384797,0.3649534889576873,0.30015063107015105,-0.23407667568625423,0.3449761939889129,-0.31812437530834764,6.433182192003487,6.454185819949545,4.480923309611349,4.51059055235642
-5.6085717396989365e-14,0.5169616606469974,0.5266709491899499,0.5790449652436221,0.0,0.0,0.25153629653105264,0.36949436507286854,0.3041188557077492,-0.2371288286964751,0.3491695834168512,-0.3208356187828032,6.4142672086931265,6.4358531767930005,4.514387559687248,4.544581031906142
