GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
5.848461432678344e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1019718269255509e-16,2.0145902015207304e-07,2.1635640672443573e-07,4.220092533002953e-07,2.0640380068974453e-07,-2.0901850863704905e-07,1.0323472846816517e-07,1.5535317364309306e-07,2.1100462665014768e-07,-1.0321008927447638e-07,1.557065254003338e-07,-2.1006849950988894e-07,9.200210070110788e-06,9.202753687288314e-06,8.36070469526363e-07,8.581620250242355e-07
-6.912362651399328e-17,1.9498834740303023e-06,1.9382714242478806e-06,2.160788298541487e-06,1.6511126206663032e-06,-1.6800065725879422e-06,9.988770106510288e-07,1.3905887700451934e-06,1.0803941492707434e-06,-9.99005833930645e-07,1.393789638914474e-06,-1.0707069717035762e-06,1.272289865831882e-05,1.2869694883092868e-05,8.360549017560207e-06,8.5814316277268e-06
-9.163987668339855e-17,3.898686014029571e-06,3.873007364600719e-06,4.104996405890166e-06,3.2565108558581314e-06,-3.3160220002063257e-06,1.9971034453194585e-06,2.7783912662014543e-06,2.0524982029450832e-06,-1.9973942631439695e-06,2.7848658313444214e-06,-2.0267096668861664e-06,1.9842945600796552e-05,2.021738549274912e-05,1.6717762207250826e-05,1.715953437320306e-05
-1.8877286513707288e-16,5.847477887168465e-06,5.808214779193396e-06,6.051657925090803e-06,4.86199298372371e-06,-4.954011013400215e-06,2.995339074307631e-06,4.166547049510383e-06,3.025828962545402e-06,-2.9957892375123592e-06,4.1763098638326055e-06,-2.9862921420778544e-06,2.789383414343411e-05,2.8492127722278853e-05,2.5070678778809807e-05,2.573337691183353e-05
-1.7879343514023902e-16,7.796090419531081e-06,7.74330466072027e-06,7.995033519122132e-06,6.46764786777357e-06,-6.594218629032569e-06,3.993497847659294e-06,5.55463458663582e-06,3.997516759561066e-06,-3.9941061068776036e-06,5.567698179344814e-06,-3.948545197706358e-06,3.624760895010508e-05,3.706545455904284e-05,3.3419456109498755e-05,3.430311753917313e-05
-3.490753456484202e-16,9.744505877239768e-06,9.678174375044023e-06,9.935566307766893e-06,8.073487058648987e-06,-8.236690175947362e-06,4.991569092089074e-06,6.9425783946791514e-06,4.967783153883446e-06,-4.992334560279319e-06,6.9589544390784185e-06,-4.910605071864892e-06,4.4726969806017764e-05,4.5762090066584406e-05,4.176434086880973e-05,4.2869000754480705e-05
-3.2668678466866977e-16,1.1692727416997679e-05,1.1612799809624995e-05,1.1873583457574059e-05,9.679473307762085e-06,-9.881447099058533e-06,5.989552487982241e-06,8.33035913171879e-06,5.93679172878703e-06,-5.990475216765074e-06,8.35005890547616e-06,-5.8724063998551246e-06,5.3266783113769335e-05,5.451795394828907e-05,5.010556749387176e-05,5.1431258475984725e-05
-3.3620964012191506e-16,1.36407634486661e-05,1.3547177825466287e-05,1.3809340261892294e-05,1.1285558126519398e-05,-1.1528438968998585e-05,6.98745151613569e-06,9.717973192785246e-06,6.904670130946148e-06,-6.988531143425129e-06,9.74100747641043e-06,-6.833898986728801e-06,6.183837928762168e-05,6.330490644456055e-05,5.8443346133989346e-05,5.999009847086331e-05
-2.627878123446258e-16,1.5588620662623304e-05,1.5481312247494584e-05,1.5761365257134817e-05,1.2891697745380238e-05,-1.3177414264195877e-05,7.985268777775997e-06,1.1105422347947191e-05,7.88068262856741e-06,-7.986505072549416e-06,1.1131801410514277e-05,-7.795046221821113e-06,7.042748268871076e-05,7.210895469200118e-05,6.677786335299322e-05,6.854570516011822e-05
-2.755601374662986e-16,1.753630332383605e-05,1.7415209397909102e-05,1.7719284341194542e-05,1.4497857475804906e-05,-1.4828253507613162e-05,8.983005825897312e-06,1.2492710421879534e-05,8.859642170597271e-06,-8.984398788675497e-06,1.2522444114472455e-05,-8.757700809274168e-06,7.902633239891549e-05,8.09224982980438e-05,7.510928502001868e-05,7.709824251629936e-05
-2.569146636475947e-16,1.9483816319268936e-05,1.9348876429861802e-05,1.9679523675218273e-05,1.610401150667049e-05,-1.6480834239151905e-05,9.980664707942815e-06,1.3879842011449633e-05,9.839761837609137e-06,-9.982214237814182e-06,1.391293957659045e-05,-9.720586579598843e-06,8.763042637548219e-05,8.974113129355384e-05,8.3437759293746e-05,8.564785702783486e-05
