GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
-1.0578988829075597e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.215355331700627e-16,6.542114044465146e-11,6.656892214477901e-11,7.926166729642108e-11,6.273219863242439e-11,-5.69792825969659e-11,3.606809977073818e-11,4.996964253938765e-11,3.963083364821054e-11,-3.6087658958681974e-11,5.015347941610503e-11,-3.660219541351732e-11,5.052894060912737e-10,5.096555751716935e-10,2.477165242360331e-08,2.5294079837339903e-08
1.9356348314987015e-18,4.37161272665641e-08,4.603572185690899e-08,5.093049803285041e-08,4.3805471949836445e-08,-4.365013148330907e-08,2.4353368351001263e-08,3.488077921510651e-08,2.545988228200682e-08,-2.4354118124287476e-08,3.487994563639166e-08,-2.5465249016425206e-08,2.0850254662653216e-07,2.1352423664922887e-07,2.303659929594748e-07,2.3596314681435294e-07
9.689341281521385e-17,9.222738721174467e-08,9.711917480416778e-08,1.0744803193192246e-07,9.219631251920746e-08,-9.200729150668183e-08,5.1376180438062995e-08,7.35861276123498e-08,5.372401596596123e-08,-5.1375903357412515e-08,7.358533301383161e-08,-5.370708041882704e-08,4.3853721293083453e-07,4.491625777374898e-07,4.598868838249928e-07,4.711016548567574e-07
1.8336417653774238e-17,1.4073745016381206e-07,1.4820246637987576e-07,1.639984999801012e-07,1.4054038094519132e-07,-1.4034162266959988e-07,7.839728764887391e-08,1.1229115419048242e-07,8.19992499900506e-08,-7.839495111537341e-08,1.1229094716853133e-07,-8.195249673315285e-08,6.68013111261595e-07,6.842554258889543e-07,6.892659183461918e-07,7.061017528922487e-07
3.8742475627381707e-17,1.892466646847797e-07,1.9928575224043832e-07,2.205619976594377e-07,1.8886122636943735e-07,-1.886629585037374e-07,1.054171877379682e-07,1.509959696115899e-07,1.1028099882971885e-07,-1.0541215708150537e-07,1.509967466167778e-07,-1.1020204456630321e-07,8.97198937980632e-07,9.190651475056659e-07,9.185295598532606e-07,9.409892455672832e-07
-1.088943487705058e-16,2.3775521496351383e-07,2.503690966266867e-07,2.7713264422902453e-07,2.371684499189322e-07,-2.3697715459386737e-07,1.3243615554565888e-07,1.8970064300526938e-07,1.3856632211451227e-07,-1.3242799963102382e-07,1.8970271177095425e-07,-1.3845502877616903e-07,1.126205973249321e-06,1.153700385164239e-06,1.1477038651198835e-06,1.175789568402299e-06
-8.781081860587379e-17,2.862632354185534e-07,3.014525296092667e-07,3.33707302715926e-07,2.854675458378273e-07,-2.8528812261888775e-07,1.5945437068155583e-07,2.2840521752451227e-07,1.66853651357963e-07,-1.5944277506945865e-07,2.2840882866089002e-07,-1.6671082122148713e-07,1.355089017910132e-06,1.3882146354467207e-06,1.3768064839976346e-06,1.410519951114271e-06
-2.8804479717506254e-16,3.347708241376784e-07,3.5253606532369255e-07,3.9028445576765313e-07,3.3376192726163174e-07,-3.3359842156374623e-07,1.8647195496018638e-07,2.671097197822975e-07,1.9514222788382657e-07,-1.8645668704134597e-07,2.671150861999124e-07,-1.9496903716406703e-07,1.5838787077863218e-06,1.6226378025711033e-06,1.6058495344031469e-06,1.6451922225296197e-06
-2.0042754205233863e-16,3.832780594211034e-07,4.036197096598558e-07,4.468634008420035e-07,3.820537851678705e-07,-3.819096869280972e-07,2.1348900048306484e-07,3.058141671683183e-07,2.2343170042100175e-07,-2.134698749320826e-07,3.0582147422593087e-07,-2.2322945146773322e-07,1.8125939110990974e-06,1.8569883027578364e-06,1.834841662310569e-06,1.879814821675431e-06
