GC,GL1,GL2,GLinf,GMaxE,GMinE,LMaxL1,LMaxL2,LMaxLm,LMinL1,LMinL2,LMinLm,H12T,H1T,H12S,H1S
2.8271597168564584e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4135798584282292e-16,5.124596497175424e-13,6.420043296866534e-13,1.5475805464130747e-12,0.0,0.0,2.565024148966007e-13,4.541016491539126e-13,2.3216038941833685e-12,-2.564866784567215e-13,4.540762866763253e-13,0.0,3.976421110989192e-11,3.976939344208544e-11,5.184323010686174e-10,5.184472138166463e-10
2.8271597168564584e-16,2.900162768617621e-12,5.0290218482760605e-12,3.1142282799677226e-11,2.0653258289559334e-13,-1.9975920248880238e-13,1.3763349634669569e-12,3.1743036717014893e-12,4.645395257121062e-11,-1.3762819651827198e-12,3.1742429081558385e-12,0.0,2.3239650393857496e-10,2.3245091116969737e-10,6.734572556110527e-10,6.734930286334351e-10
4.240739575284688e-16,4.529352617022673e-12,9.044355658458473e-12,5.929939612179374e-11,2.0231310001923177e-13,-1.9576179765856508e-13,2.12374665627128e-12,5.618582058128706e-12,8.894891981416344e-11,-2.1236482434618578e-12,5.618487671534434e-12,0.0,3.472795514737617e-10,3.4739730459675963e-10,7.277315089624301e-10,7.278061423111939e-10
1.4135798584282292e-16,6.49713062648908e-12,1.3103545143782242e-11,8.493499237417102e-11,1.756637344843165e-13,-1.6833515896221479e-13,3.046986247228975e-12,8.173474873796704e-12,1.274027328517925e-10,-3.0468609156884205e-12,8.173331685947806e-12,0.0,4.5648901686467805e-10,4.5667704717164786e-10,7.911604547073713e-10,7.912882792768644e-10
4.240739575284688e-16,8.576290097041387e-12,1.7105357341268928e-11,1.0875017558089674e-10,1.2325331559898312e-13,-1.1725720835362718e-13,4.030012465746125e-12,1.072881810870433e-11,1.6312809501473847e-10,-4.029853261771677e-12,1.0728615343117103e-11,0.0,5.586329149132943e-10,5.588947368461226e-10,8.588742193959862e-10,8.590644466932469e-10
4.240739575284688e-16,1.0696006103795553e-11,2.104428521165705e-11,1.3118091519951692e-10,5.729613590006783e-14,-5.052275549327687e-14,5.036264514878794e-12,1.3265803342817089e-11,1.967766943293531e-10,-5.036071201714484e-12,1.3265552792664557e-11,0.0,6.548277871579325e-10,6.551658513492779e-10,9.284796927871853e-10,9.287384827487512e-10
2.8271597168564584e-16,1.2825351760305836e-11,2.4925992116465022e-11,1.5249412224258017e-10,0.0,0.0,6.049623745944004e-12,1.578103658118648e-11,2.2874738296647564e-10,-6.049393110486412e-12,1.5780731549662953e-11,0.0,7.461254435537763e-10,7.465416817574953e-10,9.98691509187607e-10,9.990231807751136e-10
5.654319433712917e-16,1.4959536923655676e-11,2.8757037972127392e-11,1.728715863514673e-10,0.0,0.0,7.067280937064013e-12,1.8274827241328977e-11,2.593146493911157e-10,-7.066995089300354e-12,1.827446389742471e-11,0.0,8.333412702452236e-10,8.338372982344057e-10,1.0687955424050116e-09,1.0692032715375913e-09
4.240739575284688e-16,1.7094698210565488e-11,3.2543211243896644e-11,1.9244520864219652e-10,0.0,0.0,8.086980113934052e-12,2.074844955549612e-11,2.886791411179466e-10,-8.086655196886831e-12,2.0748025879973302e-11,0.0,9.17098094425723e-10,9.17675310443382e-10,1.1383911930278406e-09,1.1388774194932321e-09
5.654319433712917e-16,1.9229636572609146e-11,3.628936375968801e-11,2.1131817102033981e-10,0.0,0.0,9.107902227884241e-12,2.3203358651284705e-11,3.169917601793098e-10,-9.107546898055892e-12,2.3202894086402215e-11,0.0,9.978778753400707e-10,9.985375165787697e-10,1.2072560062086303e-09,1.2078226777510062e-09
5.654319433712917e-16,2.1361529355331935e-11,3.999953035573366e-11,2.2993517713631092e-10,0.0,0.0,1.012846979300639e-11,2.5640980655864944e-11,3.448918692699971e-10,-1.0128080914790247e-11,2.5640465359980112e-11,0.0,1.0760613721698064e-09,1.0768045500946986e-09,1.2752713721497007e-09,1.2759200951956501e-09
5.654319433712917e-16,2.349207013657431e-11,4.3677072810529345e-11,2.4844944545821175e-10,0.0,0.0,1.1149384121281289e-11,2.8062581026239906e-11,3.726888231082596e-10,-1.1148977297790892e-11,2.806203141017045e-11,0.0,1.1519541920160987e-09,1.1527819165795233e-09,1.3423810721495377e-09,1.3431132076147045e-09
7.067899292141147e-16,2.5620898602261686e-11,4.732483653176572e-11,2.6653011291724246e-10,0.0,0.0,1.2170366400442501e-11,3.046931471185871e-11,3.998103265692351e-10,-1.2169937729115597e-11,3.0468724122357157e-11,0.0,1.22580535394967e-09,1.2267185520421686e-09,1.408565697581672e-09,1.4093824250347036e-09
5.654319433712917e-16,2.7748649071922046e-11,5.0945212219467435e-11,2.8419657238231267e-10,0.0,0.0,1.3191649841392203e-11,3.2862174837175525e-11,4.2631078877422406e-10,-1.3191185751006153e-11,3.286154002582449e-11,0.0,1.297821363499067e-09,1.2988208907323074e-09,1.4738278890099845e-09,1.4747302488253953e-09
5.654319433712917e-16,2.9873533641237364e-11,5.454026624307235e-11,3.0148020773287887e-10,0.0,0.0,1.4212263398588461e-11,3.524205961020025e-11,4.5223773442509704e-10,-1.4211759320637128e-11,3.5241372780031165e-11,0.0,1.3681753687248827e-09,1.369262020296822e-09,1.538184816499167e-09,1.539173740184226e-09
